"country","indicator","measure","Unit","Date","Value"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2019","46.1"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2020","43.6"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2021","43"
"Australia","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2022","48.6"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2013","30.91"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2014","38.46"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2015","34.76"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2016","34.33"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2017","32.06"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2018","31.86"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2019","31.6"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2020","30.4"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2021","29.1"
"Australia","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2022","32.2"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2013","53.08"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2014","52.46"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2015","56.46"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2016","48.24"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2017","46.05"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2018","44.75"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2019","41.1"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2020","37.3"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2021","39.6"
"Australia","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2022","37.8"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2013","52.66"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2014","60.07"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2015","63.71"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2016","65.07"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2017","64.77"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2018","62.24"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2019","60.9"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2020","55.8"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2021","55.7"
"Australia","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2022","58.8"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2013","36.33"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2014","36.29"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2015","34.9"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2016","33.19"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2017","33.1"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2018","33.4"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2019","33.8"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2020","31.9"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2021","34.2"
"Brazil","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2022","32.5"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2013","53.79"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2014","53.91"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2015","55.82"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2016","55.3"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2017","51.76"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2018","55.33"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2019","58.9"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2020","58.5"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2021","60.6"
"Brazil","Institutions","Score","Score, 100=Max strength 0=Weakest","2022","46.7"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2013","30.33"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2014","31.12"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2015","30.09"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2016","32.52"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2017","35.85"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2018","34.93"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2019","36"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2020","35.8"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2021","37.5"
"Brazil","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2022","36.2"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2013","44.9"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2014","45.19"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2015","44.32"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2016","43.93"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2017","44.17"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2018","43.39"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2019","44.2"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2020","42.7"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2021","44.9"
"Brazil","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2022","37.2"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2013","38.03"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2014","39.32"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2015","41.57"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2016","37.01"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2017","37.22"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2018","38.26"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2019","37.6"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2020","35.8"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2021","36"
"Brazil","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2022","37.9"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2013","26.45"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2014","28.06"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2015","25.45"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2016","23.67"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2017","18.87"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2018","22.82"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2019","23"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2020","23.3"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2021","25.3"
"Brazil","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2022","24.8"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2013","37.17"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2014","33.61"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2015","29.58"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2016","23.64"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2017","26.58"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2018","24.15"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2019","22.8"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2020","18.6"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2021","23.5"
"Brazil","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2022","24.5"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2013","37.16"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2014","39.16"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2015","40.09"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2016","44.88"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2017","48.34"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2018","45.09"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2019","46.8"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2020","41.8"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2021","41.2"
"Brazil","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2022","43.9"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2013","36.82"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2014","36.02"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2015","38"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2016","34.56"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2017","35.79"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2018","35.3"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2019","36.1"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2020","33.6"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2021","34.5"
"Mexico","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2022","31"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2013","61.79"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2014","61.77"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2015","61.51"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2016","60.55"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2017","58.55"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2018","62.32"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2019","62.8"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2020","61.3"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2021","61"
"Mexico","Institutions","Score","Score, 100=Max strength 0=Weakest","2022","48.2"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2013","31.92"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2014","32.46"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2015","34.35"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2016","33.69"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2017","33.66"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2018","33.83"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2019","33.4"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2020","32.1"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2021","33.2"
"Mexico","Human capital and research","Score","Score, 100=Max strength 0=Weakest","2022","33.6"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2013","45.56"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2014","46.93"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2015","46.99"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2016","45.73"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2017","49.95"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2018","47.99"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2019","49.9"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2020","48.4"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2021","48.8"
"Mexico","Market sophistication","Score","Score, 100=Max strength 0=Weakest","2022","36.3"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2013","28.91"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2014","29.9"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2015","36.93"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2016","29.82"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2017","30.77"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2018","29.5"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2019","29.4"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2020","27.1"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2021","27.2"
"Mexico","Business sophistication","Score","Score, 100=Max strength 0=Weakest","2022","25.2"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2013","23.4"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2014","26.86"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2015","29.43"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2016","23.34"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2017","21.52"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2018","23.54"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2019","25.5"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2020","23.4"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2021","24.8"
"Mexico","Knowledge and technology outputs","Score","Score, 100=Max strength 0=Weakest","2022","24.3"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2013","42.4"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2014","32.86"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2015","34.95"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2016","29.87"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2017","32.62"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2018","29.16"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2019","29.2"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2020","26.2"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2021","28.5"
"Mexico","Creative outputs","Score","Score, 100=Max strength 0=Weakest","2022","24.7"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2013","35.46"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2014","39.88"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2015","39.55"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2016","42.82"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2017","49.66"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2018","47.98"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2019","48.3"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2020","43"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2021","41.8"
"Mexico","Infrastructure","Score","Score, 100=Max strength 0=Weakest","2022","44.2"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2013","61.25"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2014","62.37"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2015","62.4"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2016","61.93"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2017","60.89"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2018","60.1"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2019","61.3"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2020","59.8"
"United Kingdom","Global Innovation Index","Score","Score, 100=Max strength 0=Weakest","2021","59.8"
